State,Expend,,,,
United States,18822769,,,,
New England,995393,,,,
Connecticut,235580,,,,
Maine,84093,,,,
Massachusetts,483803,,,,
New Hampshire,92406,,,,
Rhode Island,61338,,,,
Vermont,38173,,,,
Mideast,3048376,,,,
Delaware,59512,,,,
District of Columbia,62490,,,,
Maryland,346417,,,,
New Jersey,592882,,,,
New York,1248145,,,,
Pennsylvania,738930,,,,
Great Lakes,2503006,,,,
Illinois,732059,,,,
Indiana,339863,,,,
Michigan,524045,,,,
Ohio,596163,,,,
Wisconsin,310876,,,,
Plains,1140322,,,,
Iowa,153400,,,,
Kansas,145110,,,,
Minnesota,324128,,,,
Missouri,322804,,,,
Nebraska,103226,,,,
North Dakota,43728,,,,
South Dakota,47927,,,,
Southeast,4578382,,,,
Alabama,227475,,,,
Arkansas,135761,,,,
Florida,1361251,,,,
Georgia,554573,,,,
Kentucky,213960,,,,
Louisiana,221485,,,,
Mississippi,123851,,,,
North Carolina,553487,,,,
South Carolina,264656,,,,
Tennessee,351525,,,,
Virginia,486123,,,,
West Virginia,84235,,,,
Southwest,2273384,,,,
Arizona,400704,,,,
New Mexico,97421,,,,
Oklahoma,179981,,,,
Texas,1595278,,,,
Rocky Mountain,736044,,,,
Colorado,374880,,,,
Idaho,90908,,,,
Montana,62603,,,,
Utah,174396,,,,
Wyoming,33257,,,,
Far West,3535960,,,,
Alaska,46131,,,,
California,2526290,,,,
Hawaii,83403,,,,
Nevada,172658,,,,
Oregon,234578,,,,
Washington,472900,,,,